City,Country,City ID,Latitude,Temperature,Wind Speed,Humidity,Cloudiness
Waipawa,NZ,2185329,-39.94,59.28,10.74,62,0
Saskylakh,RU,2017155,71.97,4.83,6.71,76,68
Comodoro Rivadavia,AR,3860443,-45.87,82.4,10.29,28,0
Saquena,PE,3692020,-4.67,90.19,6.71,55,8
Punta Arenas,CL,3874787,-53.16,55.4,10.29,62,90
Atuona,PF,4020109,-9.8,81.78,13.76,100,0
Kermen,BG,730478,42.51,48.12,10.07,70,76
Buala,SB,2109528,-8.15,82.36,6.38,93,32
Mushie,CD,2312249,-3.02,76.92,2.24,97,12
Yangjiang,CN,1806408,21.85,71.07,2.24,100,0
Castro,CL,3896218,-42.48,61.39,5.26,71,0
Dikson,RU,1507390,73.51,7.53,15.99,91,56
Caravelas,BR,3466980,-17.73,80.07,9.62,100,0
Port Keats,AU,2063039,-14.25,79.62,3.02,95,0
Diamantino,BR,3464724,-14.4,73.41,5.37,99,88
Axim,GH,2303611,4.87,81.78,9.17,99,68
Kodiak,US,4407665,39.95,26.6,8.05,86,90
Severo-Kurilsk,RU,2121385,50.68,27.37,8.95,100,56
Bredasdorp,ZA,1015776,-34.53,69.8,9.17,83,32
Fortuna,US,5563839,40.6,55.4,14.99,76,1
Georgetown,SH,2411397,-7.93,80.34,15.66,100,24
Ushtobe,KZ,1517637,45.25,17.79,4.81,74,12
Cayenne,GF,3382160,4.94,77.0,2.24,94,75
Leningradskiy,RU,2123814,69.38,21.34,7.49,98,80
Westport,NZ,2206900,-41.75,52.26,1.57,100,88
Riyadh,SA,108410,24.63,73.4,3.36,28,75
Ribeira Grande,PT,3372707,38.52,63.42,25.5,95,92
Yerbogachen,RU,2012956,61.28,13.38,11.52,57,56
Pangnirtung,CA,6096551,66.15,33.49,15.99,84,76
Antsohihy,MG,1068971,-14.88,72.64,2.91,99,64
Victoria,SC,241131,-4.62,82.4,4.7,83,100
Dukat,RU,2125906,62.55,22.96,10.85,85,80
Aklavik,CA,5882953,68.22,17.6,16.11,78,90
Sorland,NO,3137469,67.67,35.25,8.95,100,36
Aykhal,RU,2027296,65.95,-2.02,3.69,66,64
Tuktoyaktuk,CA,6170031,69.44,12.25,32.21,85,90
Grindavik,IS,3416888,63.84,37.4,13.87,69,75
Chapais,CA,5919850,49.78,19.4,12.75,57,90
Tonantins,BR,3661894,-2.86,86.32,3.47,73,56
Pisco,PE,3932145,-13.71,77.0,11.41,61,40
Cherskiy,RU,2126199,68.75,26.7,8.28,77,0
Outjo,NA,3353715,-20.11,66.2,2.68,93,12
Pevek,RU,2122090,69.7,17.74,9.84,84,8
Margate,ZA,978895,-30.86,73.09,9.84,96,24
Hilo,US,5855927,19.71,84.2,12.75,54,1
Palmer,US,5871146,61.6,36.81,5.82,47,1
Ahipara,NZ,2194098,-35.17,63.64,4.36,92,12
Caohai,CN,1816028,26.87,49.92,2.46,100,76
Henties Bay,NA,3356832,-22.12,64.81,4.59,96,0
Isangel,VU,2136825,-19.55,81.01,19.8,100,76
Bambous Virieux,MU,1106677,-20.34,80.6,5.82,83,40
Chuy,UY,3443061,-33.69,70.39,17.11,94,92
Khatanga,RU,2022572,71.98,-6.79,12.75,74,76
Puerto Baquerizo Moreno,EC,3652758,-0.9,82.4,11.41,74,75
Lebu,CL,3883457,-37.62,59.28,22.48,91,0
Ahuimanu,US,5856516,21.44,77.02,6.93,78,90
Westerland,DE,2810284,54.91,30.2,8.05,92,0
Nikolskoye,RU,546105,59.7,35.6,15.66,69,40
Mahebourg,MU,934322,-20.41,80.6,5.82,83,40
Saint-Philippe,RE,935215,-21.36,77.13,4.7,73,0
Kavieng,PG,2094342,-2.57,84.66,11.74,100,24
Fort-Shevchenko,KZ,609906,44.51,41.77,21.03,93,0
Guerrero Negro,MX,4021858,27.97,70.89,9.95,52,0
Port Macquarie,AU,2152659,-31.43,66.2,5.82,93,0
Vardo,NO,777019,70.37,15.8,11.41,85,40
Barrow,US,4252975,39.51,27.81,5.82,92,90
San Cristobal,EC,3652567,-1.02,63.6,2.91,100,88
Nanortalik,GL,3421765,60.14,34.44,41.38,100,0
Neiafu,TO,4032420,-18.65,84.2,12.75,74,75
Souillac,MU,933995,-20.52,80.6,5.82,83,40
Jamestown,SH,3370903,-15.94,75.16,15.1,100,44
Vila Franca do Campo,PT,3372472,37.72,59.0,16.11,82,75
Lazaro Cardenas,MX,3996234,28.39,87.8,4.7,9,75
Lisala,CD,211734,2.15,72.78,2.57,96,36
Barahona,DO,3492985,18.21,82.4,18.34,61,75
Hasaki,JP,2112802,35.73,49.75,2.24,93,0
Bulolo,PG,2098869,-7.2,62.56,1.57,96,56
Mitu,CO,3674676,1.2,82.14,2.01,78,48
Marrakesh,MA,2542997,31.63,62.6,5.82,59,75
Faanui,PF,4034551,-16.48,82.32,15.43,100,80
Tomatlan,MX,3981391,19.93,89.07,4.36,40,0
Hami,CN,1529484,42.84,50.91,12.19,53,88
Carnarvon,AU,2074865,-24.87,78.36,12.3,97,0
Namibe,AO,3347019,-15.19,79.8,11.97,100,0
Vanimo,PG,2084442,-2.67,76.06,13.09,100,80
Flin Flon,CA,5954718,54.77,6.8,12.75,32,20
Husavik,IS,2629833,66.04,32.0,5.82,96,0
Innisfail,AU,2162683,-17.52,72.82,7.27,91,80
Pangody,RU,1495626,65.85,-5.93,6.49,57,56
Salinas,EC,3655673,0.49,59.0,3.36,77,75
Launceston,AU,2160517,-41.43,53.6,16.11,76,32
Yellowknife,CA,6185377,62.45,10.4,5.82,51,20
Burla,RU,1508636,53.34,21.97,6.04,82,44
Bandarbeyla,SO,64814,9.49,81.19,7.94,100,64
Puerto Ayora,EC,3652764,-0.74,82.4,17.22,69,75
Jieshi,CN,1805857,22.82,66.12,4.7,100,56
Saquarema,BR,3448011,-22.93,81.3,16.11,65,20
Stykkisholmur,IS,3412888,65.08,36.69,5.14,100,92
Zachary,US,4346788,30.65,77.0,9.17,47,1
Ancud,CL,3899695,-41.87,64.14,4.59,68,0
Pandan,PH,1695555,11.72,80.56,11.97,100,64
Omsukchan,RU,2122493,62.53,24.09,9.73,85,88
Arraial do Cabo,BR,3471451,-22.97,79.66,16.11,65,20
East London,ZA,1006984,-33.02,75.16,20.02,100,80
Tiksi,RU,2015306,71.64,-15.74,2.35,46,20
Luderitz,NA,3355672,-26.65,62.6,4.7,93,0
Dwarka,IN,1273294,28.58,75.2,6.38,53,0
Aksu,CN,1529660,41.12,50.28,6.15,60,80
Cidreira,BR,3466165,-30.17,70.17,7.27,99,92
Great Yarmouth,GB,2647984,52.61,39.2,8.05,100,92
Suzuka,JP,1851348,34.89,57.2,2.24,87,32
Hofn,IS,2630299,64.25,30.3,4.25,100,80
Isla Aguada,MX,3526766,18.78,82.4,12.75,65,20
Tasiilaq,GL,3424607,65.61,23.0,19.46,73,80
Cabo San Lucas,MX,3985710,22.89,89.6,16.11,10,5
Uaua,BR,3385883,-9.84,89.07,8.61,36,92
Deputatskiy,RU,2028164,69.3,-20.24,2.68,55,20
Kaseda,JP,1859964,31.42,50.0,3.36,93,20
Eydhafushi,MV,1337606,5.1,83.94,7.83,100,92
Lethem,GY,3379316,3.38,93.16,13.87,32,92
Hambantota,LK,1244926,6.12,81.91,7.38,100,32
Chernyshevskiy,RU,2025456,63.01,12.93,8.28,75,64
Wuwei,CN,1803936,37.93,36.24,5.7,46,0
Borogontsy,RU,2026160,62.67,18.37,4.92,83,92
Chalus,IR,139223,36.66,48.2,4.7,87,75
Lima,PE,3936456,-12.06,69.22,2.57,66,24
Port Blair,IN,1259385,11.67,82.68,10.74,100,80
Beringovskiy,RU,2126710,63.05,28.32,7.49,99,8
Portland,AU,2152668,-33.35,59.64,3.91,78,88
Kruisfontein,ZA,986717,-34.0,65.31,9.95,91,24
Ust-Karsk,RU,2013942,52.71,18.51,9.62,43,48
Sinjar,IQ,448149,36.32,49.24,1.57,56,8
Gushikawa,JP,1863495,26.35,67.23,6.93,72,1
Ekhabi,RU,2122614,53.51,13.02,4.59,90,92
Halifax,CA,6324729,44.65,42.8,16.11,100,90
Abu Dhabi,AE,292968,24.47,75.2,6.93,69,0
Mathbaria,BD,1185239,22.29,73.68,2.8,87,56
Brae,GB,2654970,60.4,33.8,10.29,64,12
Verkh-Chebula,RU,1487599,56.03,19.5,8.72,80,76
Parana,BR,3663516,-7.52,89.6,5.82,62,75
Majengo,TZ,152743,-3.35,63.96,3.24,100,92
Kijang,ID,1640044,0.9,81.96,10.4,92,12
Paso de Carrasco,UY,3441292,-34.86,69.8,13.87,88,75
Sechura,PE,3691954,-5.56,79.62,12.86,65,24
Soyo,AO,2236967,-6.13,78.49,2.13,93,76
Nyimba,ZM,900056,-14.56,71.74,6.15,78,32
Beloha,MG,1067565,-25.17,75.79,13.98,81,76
Kamenka,RU,553725,53.19,34.57,9.62,95,80
Zharkent,KZ,1520253,44.17,29.89,2.68,86,80
Upernavik,GL,3418910,72.79,23.14,7.49,93,68
Iqaluit,CA,5983720,63.75,3.2,35.57,84,90
Ostrovnoy,RU,556268,68.05,5.01,3.69,67,20
Martinsville,US,4771808,36.69,68.92,3.36,34,1
Tungor,RU,2120400,53.39,13.02,4.59,90,92
Amot,NO,3163198,59.57,14.59,2.13,65,76
Bathsheba,BB,3374083,13.22,80.6,10.29,74,20
Flinders,AU,6255012,-34.58,68.0,8.05,77,92
Lompoc,US,5367788,34.64,62.62,8.05,60,1
Stokmarknes,NO,3136690,68.56,30.52,8.84,100,8
Saint George,BM,3573061,32.38,69.8,4.7,73,75
Zhigansk,RU,2012530,66.77,12.12,6.6,80,68
Quarai,BR,3452179,-30.39,76.42,11.18,61,8
Ostrowiec Swietokrzyski,PL,762863,50.93,36.42,25.95,93,88
Shar,KZ,1519275,49.59,10.41,2.68,79,0
Port Hardy,CA,6111862,50.7,37.4,5.82,86,75
Grand Gaube,MU,934479,-20.01,80.6,5.82,83,40
Dingle,IE,2964782,52.14,42.18,30.42,100,92
Necochea,AR,3430443,-38.55,63.42,11.63,76,8
Fort Nelson,CA,5955902,58.81,30.2,1.79,23,5
Alyangula,AU,2079582,-13.85,82.23,3.69,100,0
Saint-Augustin,CA,6138501,45.63,35.04,13.87,37,40
Provideniya,RU,4031574,64.42,33.8,8.95,86,90
Marienburg,SR,3383570,5.88,76.78,2.24,88,40
Hobyo,SO,57000,5.35,80.25,6.6,86,48
Broken Hill,AU,2173911,-31.97,61.17,10.18,76,12
Crixas,BR,3465145,-14.55,83.22,3.8,69,44
Miyazu,JP,1856703,35.58,43.17,2.35,91,20
Davila,PH,1715335,18.47,69.8,2.24,94,75
Linjiang,CN,2036069,41.81,47.62,9.17,70,24
Izumo,JP,1861084,35.37,52.47,8.05,81,0
Taungdwingyi,MM,1294041,20.0,69.72,4.92,96,80
Sitka,US,4267710,37.17,44.74,7.94,52,12
Kota Kinabalu,MY,1733432,5.98,73.4,6.93,88,75
Sao Filipe,CV,3374210,14.9,71.61,18.45,93,0
Obihiro,JP,2128815,42.92,22.38,2.68,81,0
Batagay-Alyta,RU,2027042,67.8,-4.94,4.03,62,64
Dubai,AE,292223,25.27,75.2,8.05,69,0
Srivardhan,IN,1255619,18.03,71.74,5.14,97,44
San Carlos de Bariloche,AR,7647007,-41.13,75.2,3.36,16,0
Kaitangata,NZ,2208248,-46.28,51.94,7.05,74,8
Skibbereen,IE,2961459,51.55,37.4,29.97,100,75
Jalu,LY,86049,29.03,64.41,4.14,29,24
Sahuaripa,MX,3988265,29.05,80.52,3.24,19,76
Dhuburi,IN,1272694,26.03,62.07,1.79,87,0
Takoradi,GH,2294915,4.89,80.61,8.16,100,56
Byron Bay,AU,2172880,-28.65,75.2,5.82,88,75
Richards Bay,ZA,962367,-28.77,69.27,2.57,100,44
Marsh Harbour,BS,3571913,26.54,73.14,12.97,100,48
Whitehorse,CA,6180550,60.72,26.6,8.05,53,75
Matara,LK,1235846,5.95,78.99,4.14,100,24
Esperance,AU,2071860,-33.86,48.07,4.59,91,0
Narsaq,GL,3421719,60.91,42.8,20.8,28,0
Pathardi,IN,1260135,19.17,71.16,4.7,47,12
Bumba,CD,217745,2.18,72.96,4.59,93,48
Meiktila,MM,1309793,20.88,69.36,6.15,88,92
Los Llanos de Aridane,ES,2514651,28.66,64.4,3.36,68,75
Berdigestyakh,RU,2026861,62.1,8.16,6.82,79,32
Itarema,BR,3393692,-2.92,81.37,9.73,80,88
Bolotnoye,RU,1509819,55.67,21.52,7.16,91,76
Sedona,US,5313667,34.87,67.08,11.41,14,1
Jamundi,CO,3680387,3.26,80.6,12.75,61,75
Nabire,ID,1634614,-3.36,66.57,2.13,95,8
Lapas,GR,258584,38.1,56.26,6.93,62,20
Havre-Saint-Pierre,CA,5972291,50.23,24.8,13.87,92,90
Mansoa,GW,2371467,12.07,78.8,6.93,69,0
Nelson Bay,AU,2155562,-32.72,69.8,4.7,83,56
Bonavista,CA,5905393,48.65,37.81,17.9,74,20
Khandbari,NP,1283217,27.38,32.28,1.45,67,36
Springbok,ZA,3361142,-29.67,61.8,3.13,74,12
Tabou,CI,2281120,4.42,82.05,13.42,100,8
Clyde River,CA,5924351,70.47,8.6,17.22,84,90
Namtsy,RU,2019488,62.72,14.28,5.26,83,88
Tatarka,RU,511012,52.12,37.72,19.57,89,64
Bambanglipuro,ID,1650434,-7.95,71.52,2.68,98,80
Vila Velha,BR,6320062,-3.71,82.4,8.05,83,40
Maceio,BR,3395981,-9.67,78.8,5.82,83,75
Trelew,AR,3833883,-43.25,78.67,15.21,30,0
Bykovo,RU,570315,49.76,38.17,13.2,74,0
Shushtar,IR,114584,32.05,61.89,9.17,44,0
Kurunegala,LK,1237980,7.49,77.0,4.7,88,20
Shubarshi,KZ,608270,48.59,23.1,10.63,77,0
Ilam,IR,130802,33.64,45.01,2.57,66,0
Bitung,ID,1648636,1.44,75.2,3.36,94,40
Port-Gentil,GA,2396518,-0.72,78.8,4.7,94,90
Dinga,PK,1179790,32.64,69.8,4.7,73,76
Honningsvag,NO,779554,70.98,19.51,14.99,73,0
Sojat,IN,1255860,25.92,71.16,6.71,36,0
Bouca,CF,2387890,6.51,74.85,2.8,84,0
Pokhara,NP,1282898,28.21,50.77,3.91,71,44
Te Anau,NZ,2181625,-45.41,56.13,14.43,75,48
Khandyga,RU,2022773,62.65,12.16,3.36,67,92
Diego de Almagro,CL,3892454,-26.39,70.89,3.58,69,0
Hohhot,CN,2036892,40.81,42.8,6.71,38,0
Palmas de Monte Alto,BR,3455447,-14.26,81.42,6.6,53,0
Orsha,BY,624079,54.51,38.04,21.7,93,92
Along,IN,1278969,28.17,49.56,1.9,83,0
San Patricio,MX,3985168,19.22,82.4,13.87,65,5
Selty,RU,497547,57.31,20.44,2.57,86,36
Tilichiki,RU,2120591,60.47,31.24,15.21,88,92
Bilma,NE,2446796,18.69,65.04,4.59,31,0
Mae Sai,TH,1152194,20.43,69.8,2.24,100,20
Thouars,FR,2972695,46.98,50.0,5.82,61,0
Dunedin,NZ,2191562,-45.87,50.46,5.59,73,64
Kavaratti,IN,1267390,10.57,83.76,2.91,100,0
Durango,US,5420241,37.28,68.16,17.22,15,1
Joao Pinheiro,BR,3459785,-17.74,80.61,2.8,56,12
Vao,NC,2137773,-22.67,78.36,18.9,100,92
Tuatapere,NZ,2180815,-46.13,62.7,17.45,86,20
Santa Marta,CO,3668605,11.24,89.6,13.87,55,20
Waingapu,ID,1622318,-9.65,69.99,2.8,99,8
Zlitan,LY,2208485,32.47,54.46,6.15,93,24
Darhan,MN,2031964,49.49,11.49,5.37,52,24
Evensk,RU,2125693,61.92,32.01,15.99,89,88
Derzhavinsk,KZ,1524606,51.1,20.26,8.61,86,88
Bela,PK,1182998,26.23,63.51,1.9,61,8
Caucaia,BR,3402429,-3.73,82.4,8.05,83,40
Serpa,PT,2263049,37.94,53.6,2.24,81,0
Taoudenni,ML,2450173,22.68,72.37,2.68,30,8
Kyabram,AU,2160910,-36.31,53.47,8.5,87,0
Natal,BR,3394023,-5.81,80.6,8.05,83,40
Muros,ES,3115824,42.77,51.8,10.29,71,40
Viedma,AR,3832899,-40.81,71.25,11.97,44,0
Arcata,US,5558953,40.87,55.4,19.46,71,1
Cogon,PH,1714956,6.76,77.0,3.36,88,75
Sistranda,NO,3139597,63.73,30.2,5.82,80,40
Lahaina,US,5849996,20.87,77.92,5.82,83,75
Teya,RU,1489656,60.37,8.79,6.93,63,64
Oistins,BB,3373652,13.07,78.8,11.41,74,40
Winona,US,5053156,44.05,34.29,8.05,40,1
Tigil,RU,2120612,57.8,33.67,11.52,89,88
Ocotal,NI,3617448,13.63,81.19,4.92,38,0
Peachland,CA,6100086,49.77,46.9,5.82,39,40
Mitchell,US,5229794,43.71,37.4,11.41,40,40
Klaksvik,FO,2618795,62.23,30.2,12.75,74,44
Marawi,SD,370481,18.48,67.29,10.29,24,0
Prudentopolis,BR,3452216,-25.21,68.46,3.47,94,92
Horsham,AU,2163055,-36.71,55.32,10.07,94,68
Port Hedland,AU,2063042,-20.31,80.6,5.82,88,44
Savannah Bight,HN,3601402,16.45,80.25,6.82,95,88
Poya,NC,2138522,-21.35,78.45,16.78,98,32
Zwedru,LR,2272491,6.07,77.14,5.14,87,56
Taloqan,AF,1123004,36.74,45.06,2.13,91,92
Okhotsk,RU,2122605,59.36,14.59,6.38,83,0
Huarmey,PE,3939168,-10.07,76.29,3.69,55,12
Mecca,SA,104515,21.43,82.4,2.91,65,0
Jumla,NP,1283285,29.28,21.34,2.13,75,0
Klyuchi,RU,1503153,52.25,9.78,3.24,77,0
Betsiamites,CA,6945992,48.94,30.25,16.11,74,90
Black River,JM,3491355,18.03,80.6,11.41,74,75
Haines Junction,CA,5969025,60.75,21.07,2.68,79,24
Marfino,RU,503977,56.07,34.97,15.66,93,90
Bubaque,GW,2374583,11.28,78.8,6.93,69,0
Maxixe,MZ,1039536,-23.86,74.44,8.39,100,0
Constitucion,MX,4011743,23.99,82.4,18.34,12,40
Belyy Yar,RU,1510377,53.6,19.4,15.66,62,0
Katano,JP,1853909,34.79,55.4,3.36,93,0
Walvis Bay,NA,3359638,-22.95,59.0,9.51,87,0
Chacabuco,AR,3861953,-34.64,66.84,9.84,77,100
San Jose,GT,3590069,16.98,84.97,3.91,60,32
Palestine,US,4717232,31.76,78.26,8.05,53,40
Ohangaron,UZ,1513072,40.91,44.6,4.7,93,44
Kailua,US,5847486,21.39,78.21,6.93,74,90
Kharakvasla,IN,1266966,18.43,66.57,2.91,90,32
Sinnai,IT,6539309,39.3,47.03,5.82,75,0
Adrar,DZ,2508813,27.87,77.0,17.22,16,100
Buchanan,LR,2278158,5.88,78.8,6.93,94,40
Victor Harbor,AU,2059470,-35.55,62.6,9.17,63,0
Straumen,NO,3135728,63.87,30.2,4.7,74,40
Cheney,US,5789856,47.49,44.64,16.11,86,90
Looc,PH,1717512,10.32,75.2,2.24,88,40
Katakwi,UG,231947,1.91,67.29,2.91,96,0
Vestmanna,FO,2610343,62.16,30.2,12.75,74,80
Atar,MR,2381334,20.52,73.14,3.69,23,44
Chokurdakh,RU,2126123,70.62,-17.63,3.58,52,0
Lavrentiya,RU,4031637,65.58,23.64,9.06,100,0
Bay Roberts,CA,5895424,47.58,35.6,16.11,51,90
Sretensk,RU,2016110,52.24,17.74,9.28,40,8
Kudahuvadhoo,MV,1337607,2.67,85.47,6.49,100,76
Verkhnevilyuysk,RU,2013639,63.45,7.21,6.15,69,0
Imeni Poliny Osipenko,RU,2023584,52.42,10.59,2.01,72,8
Pochutla,MX,3517970,15.74,89.6,8.05,98,40
Port Lincoln,AU,2063036,-34.72,58.69,10.18,100,36
Maumere,ID,1635815,-8.63,80.79,5.26,100,12
Grover Beach,US,5354552,35.12,64.87,19.46,67,1
Watertown,US,5232741,44.9,32.97,12.75,94,1
Turbat,PK,1163054,26.0,68.64,3.13,84,88
Nikolayevka,RU,488635,46.73,48.39,14.99,79,12
Melfort,CA,6071876,52.87,17.6,12.75,61,90
Sai Buri,TH,1606851,6.7,73.99,3.13,94,32
Coracora,PE,3942259,-15.02,58.74,3.69,25,0
Barra do Garcas,BR,3470709,-15.89,85.87,3.02,62,48
Plouzane,FR,2986626,48.38,50.0,13.87,93,90
Sola,VU,2134814,-13.88,81.51,4.36,100,56
Namatanai,PG,2090021,-3.66,82.09,9.73,100,76
Devils Lake,US,5058868,48.11,22.89,20.8,58,1
Nizhniy Baskunchak,RU,520798,48.22,33.94,13.09,85,0
Mana,GF,3381041,5.67,80.74,3.47,77,92
Misratah,LY,2214846,32.38,57.93,8.95,95,24
Rafsanjan,IR,118994,30.4,47.76,1.9,87,0
Khvalynsk,RU,548982,52.5,33.94,6.49,93,92
Nobres,BR,3456277,-14.72,82.54,6.6,83,68
Surt,LY,2210554,31.21,58.96,8.84,99,32
Harper,LR,2276492,4.38,81.64,11.63,100,48
Ambilobe,MG,1082243,-13.19,71.29,1.45,99,24
Talnakh,RU,1490256,69.49,-10.48,14.43,70,56
Puerto Narino,CO,3671387,-3.77,80.6,2.24,88,75
Sanawad,IN,1257481,22.17,65.62,3.13,46,0
Narasannapeta,IN,1261853,18.42,69.18,3.02,96,32
Ponta do Sol,CV,3374346,17.2,70.17,14.76,100,0
Miraflores,CO,3674735,5.2,56.31,1.57,94,92
Eyl,SO,60019,7.98,80.29,6.38,99,100
Baruun-Urt,MN,2032614,46.68,23.55,12.75,67,88
Ati,TD,2436400,13.21,78.36,8.72,23,0
Roberval,CA,6125653,48.51,26.6,18.34,42,75
Ca Mau,VN,1586443,9.18,77.28,9.28,92,12
Saku,EE,588831,59.3,33.8,12.75,80,20
Touros,BR,3386213,-5.2,82.23,11.3,82,76
Coquimbo,CL,3893629,-29.95,60.8,10.29,77,20
Acapulco,MX,3533462,16.86,82.4,8.05,83,5
Myanaung,MM,1308204,18.28,71.61,7.27,96,8
Chipiona,ES,2519477,36.74,57.61,20.58,66,0
Carutapera,BR,3402648,-1.2,78.76,5.26,97,80
Tornio,FI,637314,61.12,29.57,12.75,74,0
Sangre Grande,TT,7521944,10.59,81.39,13.87,58,20
Palauig,PH,1696188,15.44,72.37,4.47,100,64
Engis,BE,2798743,50.58,38.73,2.24,80,75
Rio Grande,BR,3451138,-32.03,71.6,9.17,88,90
Simbahan,PH,1695180,6.3,82.68,10.96,99,64
Zhetysay,KZ,1516595,40.73,41.46,2.8,92,24
Kaniama,CD,214389,-7.57,68.19,2.24,96,56
Lagoa,PT,2267254,37.14,59.0,3.36,72,0
Damaturu,NG,2345521,11.75,79.44,8.16,28,0
Coihaique,CL,3894426,-45.58,59.0,9.17,62,75
Brigantine,US,4500920,39.41,61.5,8.05,48,20
Kieta,PG,2094027,-6.22,80.61,7.16,98,64
Punta Alta,AR,3429886,-27.46,77.0,5.82,78,75
Eseka,CM,2231881,3.65,72.87,2.91,100,64
Puerto Carreno,CO,3671519,6.19,95.0,4.7,41,40
Norrtalje,SE,2688250,59.76,31.15,12.75,80,0
Taft,IR,113632,31.75,64.4,6.93,76,8
Nadym,RU,1498087,65.53,-1.57,2.91,58,68
Chekhov,RU,569591,55.14,34.99,13.42,93,90
Tazovskiy,RU,1489853,67.47,-8.05,12.97,63,48
Tabas,IR,113659,33.6,53.34,2.91,65,0
Blahodatne,UA,709835,47.7,52.84,16.78,71,48
Alta Floresta,BR,6316343,-9.87,77.0,4.7,88,20
Kiama,AU,2161515,-34.67,68.0,8.05,77,92
Calhoun,US,4185657,34.5,76.5,4.7,35,1
North Bend,US,5742974,43.41,47.91,6.93,81,90
Fairbanks,US,5861897,64.84,32.0,13.87,77,1
Shelburne,CA,6145890,44.08,33.22,9.17,55,90
Praia da Vitoria,PT,3372760,38.73,60.8,27.85,87,20
Krasnorechenskiy,RU,2021613,44.63,28.99,2.46,94,76
Plettenberg Bay,ZA,964712,-34.05,66.03,11.74,92,56
Itoman,JP,1861280,26.12,67.14,6.93,72,1
Cabedelo,BR,3404558,-6.97,78.8,6.93,83,20
Atasu,KZ,1526041,48.68,14.32,3.36,82,0
Ridgecrest,US,5387494,35.62,84.2,11.41,12,1
Nowa Deba,PL,763783,50.43,37.4,24.16,69,90
Melipilla,CL,3880107,-33.69,70.14,5.82,93,90
Ketchikan,US,5554428,55.34,45.43,11.41,31,1
Beinamar,TD,2435708,8.67,80.88,6.38,49,12
Havoysund,NO,779622,71.0,25.43,8.05,67,0
Madison,US,5261457,43.07,33.57,10.29,31,75
Novikovo,RU,487928,51.15,36.91,14.76,90,88
Kashi,CN,1280849,39.45,64.4,8.95,18,0
Dalnerechensk,RU,2025159,45.93,40.96,7.94,76,68
Maniitsoq,GL,3421982,65.42,28.23,2.91,83,36
Timra,SE,2669047,62.49,17.6,1.12,78,64
Nemuro,JP,2128975,43.32,35.02,9.17,98,56
Sobolevo,RU,525426,54.43,37.77,21.81,94,92
Mazagao,BR,3395042,-0.12,78.8,6.93,100,20
Soubre,CI,2598243,5.79,75.34,4.25,96,12
Letnyaya Stavka,RU,535605,45.43,43.57,14.76,77,20
Parfenyevo,RU,512576,58.48,20.58,9.4,68,36
